FID,Box,x,y,adj,Species,number,Grid ref,Lat,Lng,NEAR_FID,NEAR_DIST,Bearing
27,B124,447838,207801,0,G,124,SP4783807801,51.766851,-1.3081804,5661,9.801976273,220
28,B125,447826,207781,0,G,125,SP4782607781,51.766673,-1.308357,5659,13.19800146,50
29,B126,447802,207751,0,G,126,SP4780207751,51.766405,-1.3087089,5658,7.333206603,300
30,B127,447742,207723,0,G,127,SP4774207723,51.766158,-1.3095821,5657,28.29507026,250
31,B128,447732,207686,100,G,128,SP4773207686,51.765826,-1.3097321,5657,10.13076869,320
32,B129,447716,207691,180,G,129,SP4771607691,51.765873,-1.3099632,5657,20.27378112,340
33,B13,447722,207649,0,G,13,SP4772207649,51.765495,-1.309882,5655,25.28843359,10
34,B130,447706,207670,0,G,130,SP4770607670,51.765685,-1.310111,5655,1.59651921,40
35,B131,447700,207632,200,G,131,SP4770007632,51.765344,-1.3102031,5655,36.87497951,220
36,B133,447692,207565,0,G,133,SP4769207565,51.764742,-1.3103282,5679,28.66924911,40
37,B134,447698,207542,0,G,134,SP4769807542,51.764535,-1.3102444,5679,7.013449191,130
38,B136,447669,207520,180,G,136,SP4766907520,51.764339,-1.3106676,5680,19.30789897,220
39,B137,447628,207478,0,G,137,SP4762807478,51.763965,-1.3112674,5693,34.2035971,320
40,B138,447591,207503,30,G,138,SP4759107503,51.764193,-1.3118001,5692,9.888166551,220
41,B139,447605,207444,30,G,139,SP4760507444,51.763662,-1.3116053,5694,26.28916846,340
42,B14,447779,207684,0,G,14,SP4777907684,51.765804,-1.3090513,5638,17.39004132,110
43,B140,447545,207427,80,G,140,SP4754507427,51.763514,-1.312477,5696,26.59507874,260
44,B141,447527,207415,90,G,141,SP4752707415,51.763407,-1.3127394,5716,17.11477255,60
45,B142,447505,207457,80,G,142,SP4750507457,51.763787,-1.3130524,5695,15.20691747,250
46,B142A,447516,207446,180,G,0,SP4751607446,51.763687,-1.3128946,5695,1.615593397,330
47,B143,447535,207474,0,G,143,SP4753507474,51.763937,-1.3126155,5696,28.80675253,40
48,B144,447506,207486,260,G,144,SP4750607486,51.764048,-1.313034,5700,4.221894854,40
49,B145,447528,207498,100,G,145,SP4752807498,51.764154,-1.3127136,5700,28.64788429,80
50,B146,447557,207511,90,G,146,SP4755707511,51.764268,-1.3122917,5697,8.10021705,70
51,B147,447565,207497,110,G,147,SP4756507497,51.764141,-1.3121777,5697,8.628515325,290
52,B148,447597,207544,0,G,148,SP4759707544,51.764561,-1.3117076,5691,4.81399367,280
53,B149,447635,207593,0,G,149,SP4763507593,51.764999,-1.3111503,5682,4.129190407,260
54,B15,447812,207659,0,G,15,SP4781207659,51.765577,-1.3085766,5628,1.880111752,50
55,B150,447612,207618,0,G,150,SP4761207618,51.765225,-1.3114801,5682,37.77636263,120
56,B151,447646,207635,0,G,151,SP4764607635,51.765375,-1.3109852,5682,44.22061414,260
57,B152,447592,207644,200,G,152,SP4759207644,51.765461,-1.3117664,5683,18.35513001,70
58,B153,447548,207643,0,G,153,SP4754807643,51.765455,-1.312404,5683,28.82134722,40
59,B154,447537,207585,0,G,154,SP4753707585,51.764935,-1.3125713,5690,10.62653563,230
60,B155,447493,207531,60,G,155,SP4749307531,51.764453,-1.3132162,5698,9.449222538,220
61,B156,447510,207594,0,G,156,SP4751007594,51.765018,-1.3129613,5689,3.225666421,230
62,B157,447521,207642,0,G,157,SP4752107642,51.765449,-1.3127954,5688,12.98314755,150
63,B158,447533,207681,0,G,158,SP4753307681,51.765798,-1.3126162,5686,9.508060365,220
64,B159,447479,207695,0,G,159,SP4747907695,51.765929,-1.3133967,5710,18.21653252,140
65,B16,447830,207727,0,G,16,SP4783007727,51.766187,-1.3083065,5626,34.10235498,340
